,AUC,Method,dataset,vs
21,0.534347,ABOD,circle,noise
22,0.46463843000000005,KNN,circle,noise
23,0.50723056,IForest,circle,noise
24,0.60416447,OCSVM,circle,noise
25,0.51978689,GMM,circle,noise
26,0.18869982999999999,DeepSVDD,circle,noise
27,0.551284,DIF,circle,noise
28,0.520541175,LUNAR,circle,noise
29,0.68658722,GSAAL,circle,noise
30,0.31565393999999997,LOF,L,noise
31,0.40519082,ABOD,L,noise
32,0.36294849,KNN,L,noise
33,0.57463169,IForest,L,noise
34,0.33354594,OCSVM,L,noise
35,0.47539759,GMM,L,noise
36,0.492092375,DeepSVDD,L,noise
37,0.5479214800000001,DIF,L,noise
38,0.5076422700000001,LUNAR,L,noise
39,0.83763603,GSAAL,L,noise
40,0.21439485000000003,LOF,spiral,noise
41,0.34858794000000004,ABOD,spiral,noise
42,0.21658803000000004,KNN,spiral,noise
43,0.35134777,IForest,spiral,noise
44,0.24669467,OCSVM,spiral,noise
45,0.13507958,GMM,spiral,noise
46,0.5768529050000001,DeepSVDD,spiral,noise
47,0.5213124499999999,DIF,spiral,noise
48,0.25007227000000004,LUNAR,spiral,noise
49,0.58402545,GSAAL,spiral,noise
